,Total 2014,Total 2015,Total 2016,Total 2017
Romania,11496,12047,12483,11091
Italy,5739,6082,6754,6955
Bulgaria,3140,3219,3338,3113
France,2008,2181,2418,2453
Ukraine,1947,2030,2381,2610
United Kingdom,1561,1770,1946,2019
Russia,1126,1281,1474,1572
Germany,1287,1358,1430,1381
Armenia,856,864,908,909
Poland,808,831,887,809
Portugal,761,780,869,851
Netherlands,399,415,445,444
Lithuania,289,291,309,301
Ireland,237,271,299,302
Belgium,255,271,291,297
Hungary,203,205,226,225
Georgia,202,202,213,231
Sweden,144,166,196,191
Czech Republic,187,184,189,166
Moldova,148,155,155,144
Latvia,120,132,142,149
Austria,137,143,138,116
Greece,110,122,137,148
Swiss,114,116,135,132
Albania,87,88,106,104
Morocco,3141,3018,3063,2957
Nigeria,2568,2410,2318,2129
Algeria,2236,2170,2222,2132
Senegal,1490,1471,1524,1493
Mali,1003,975,950,881
Equatorial Guinea,828,813,846,900
Ghana,438,424,424,409
Republic of Guinea,337,293,290,246
Cameroon,207,200,210,204
Egypt,98,111,122,108
Libya,54,82,104,137
United States,494,538,619,729
Mexico,473,453,480,519
Canada,86,87,88,100
Honduras,1458,1531,1773,2174
Cuba,1031,955,977,931
Dominican Republic,581,526,510,592
Nicaragua,272,284,289,303
El Salvador,112,112,118,131
Guatemala,149,128,108,103
Bolivia,9043,7419,6736,5312
Ecuador,7485,6149,5794,4959
Colombia,5826,4924,4738,4560
Argentina,1972,1821,1815,1709
Venezuela,1243,1248,1512,2007
Brazil,1525,1388,1425,1493
Paraguay,1137,1093,1100,1130
Uruguay,864,788,742,702
Peru,841,712,699,701
Chile,547,508,504,490
China,5545,5826,6273,6635
Pakistan,5455,5443,5539,5495
India,2030,2006,2096,2143
Syria,183,249,283,300
Philippines,181,201,220,222
Japan,122,128,136,144
Republic of Korea,103,117,128,117
Bangladesh,121,105,115,106
Lebanon,85,86,111,135
