,Total 2007,Total 2008,Total 2009,Total 2010
Romania,6582,9708,11060,11187
Italy,4432,5312,6011,6252
Bulgaria,2752,3439,3757,3808
France,2050,2422,2635,2743
Ukraine,1801,1898,2007,2025
Germany,1357,1607,1746,1792
United Kingdom,1269,1452,1626,1680
Poland,788,1057,1145,1115
Portugal,826,1008,1091,1078
Armenia,833,913,956,912
Russia,765,824,845,828
Netherlands,407,495,539,547
Lithuania,238,276,298,320
Belgium,252,279,285,301
Czech Republic,154,245,291,293
Ireland,176,210,228,228
Sweden,159,177,191,209
Moldova,182,196,213,208
Georgia,122,145,184,197
Hungary,112,145,199,188
Austria,106,133,165,170
Slovakia,104,140,159,154
Greece,99,118,141,148
Swiss,114,130,136,140
Latvia,53,73,106,112
Denmark,91,106,108,107
Morocco,2984,3172,3451,3443
Nigeria,2609,2884,3065,2952
Algeria,2000,2040,2280,2253
Senegal,1159,1435,1876,2077
Mali,868,1008,1612,1585
Equatorial Guinea,992,1054,1103,1051
Republic of Guinea,443,480,545,562
Ghana,443,467,567,525
Cameroon,212,274,285,270
Mauritania,111,116,141,134
Mexico,552,573,642,626
United States,496,516,536,524
Cuba,1129,1184,1234,1215
Honduras,396,777,937,978
Dominican Republic,435,550,605,593
Nicaragua,100,156,198,218
Guatemala,62,101,144,144
Panama,88,97,99,101
Ecuador,16315,16214,15629,14539
Bolivia,12818,15849,15153,13528
Colombia,9590,10218,10644,10146
Argentina,3840,4001,3866,3488
Brazil,1955,2528,2818,2581
Venezuela,1357,1582,1673,1636
Uruguay,1586,1731,1725,1559
Paraguay,901,1354,1592,1498
Peru,1082,1228,1361,1376
Chile,740,823,826,793
China,3464,3805,4414,4787
Pakistan,3722,3396,3535,3517
India,1265,1429,1678,1780
Syria,168,174,187,187
Philippines,135,134,154,169
Japan,103,114,117,113
New Zealand,276,286,130,111
